"No.","Time","Source","Destination","Info","Protocol","Length"
"79","1.701840","66:ec:0e:84:4f:6e","Broadcast","ADV_IND","LE LL","44"
"80","1.701933","66:ec:0e:84:4f:6e","Broadcast","SCAN_RSP","LE LL","46"
"132","2.869949","66:ec:0e:84:4f:6e","Broadcast","ADV_IND","LE LL","44"
"153","3.401276","66:ec:0e:84:4f:6e","Broadcast","ADV_IND","LE LL","44"
"171","3.667852","66:ec:0e:84:4f:6e","Broadcast","ADV_IND","LE LL","44"
"172","3.669672","66:ec:0e:84:4f:6e","Broadcast","SCAN_RSP","LE LL","46"
"184","3.930473","66:ec:0e:84:4f:6e","Broadcast","ADV_IND","LE LL","44"
"185","3.930571","66:ec:0e:84:4f:6e","Broadcast","SCAN_RSP","LE LL","46"
"215","4.455535","66:ec:0e:84:4f:6e","Broadcast","SCAN_RSP[Malformed Packet]","LE LL","46"
"224","4.720562","66:ec:0e:84:4f:6e","Broadcast","ADV_IND","LE LL","44"
"237","4.987360","66:ec:0e:84:4f:6e","Broadcast","SCAN_RSP","LE LL","46"
"242","5.252953","66:ec:0e:84:4f:6e","Broadcast","ADV_IND","LE LL","44"
"267","5.887283","66:ec:0e:84:4f:6e","Broadcast","ADV_IND","LE LL","44"
"355","8.002899","66:ec:0e:84:4f:6e","Broadcast","ADV_IND","LE LL","44"
"356","8.003057","66:ec:0e:84:4f:6e","Broadcast","SCAN_RSP","LE LL","46"
"377","8.375019","66:ec:0e:84:4f:6e","Broadcast","SCAN_RSP","LE LL","46"
"413","9.169676","66:ec:0e:84:4f:6e","Broadcast","ADV_IND","LE LL","44"
"421","9.174184","66:ec:0e:84:4f:6e","Broadcast","SCAN_RSP","LE LL","46"
"434","9.437266","66:ec:0e:84:4f:6e","Broadcast","ADV_IND","LE LL","44"
"448","9.705087","66:ec:0e:84:4f:6e","Broadcast","ADV_IND","LE LL","44"
"485","10.604342","66:ec:0e:84:4f:6e","Broadcast","ADV_IND","LE LL","44"
"496","10.870815","66:ec:0e:84:4f:6e","Broadcast","ADV_IND","LE LL","44"
"520","11.400099","66:ec:0e:84:4f:6e","Broadcast","ADV_IND","LE LL","44"
"532","11.665855","66:ec:0e:84:4f:6e","Broadcast","SCAN_RSP","LE LL","46"
"568","12.455962","66:ec:0e:84:4f:6e","Broadcast","ADV_IND","LE LL","44"
"577","12.723076","66:ec:0e:84:4f:6e","Broadcast","ADV_IND","LE LL","44"
"602","13.359191","66:ec:0e:84:4f:6e","Broadcast","ADV_IND","LE LL","44"
"613","13.622443","66:ec:0e:84:4f:6e","Broadcast","ADV_IND","LE LL","44"
"623","13.886652","66:ec:0e:84:4f:6e","Broadcast","ADV_IND","LE LL","44"
"634","14.151656","66:ec:0e:84:4f:6e","Broadcast","ADV_IND","LE LL","44"
"635","14.151789","66:ec:0e:84:4f:6e","Broadcast","SCAN_RSP","LE LL","46"
"678","15.208235","66:ec:0e:84:4f:6e","Broadcast","ADV_IND","LE LL","44"
"679","15.208398","66:ec:0e:84:4f:6e","Broadcast","SCAN_RSP","LE LL","46"
"688","15.471998","66:ec:0e:84:4f:6e","Broadcast","ADV_IND","LE LL","44"
"708","16.110534","66:ec:0e:84:4f:6e","Broadcast","ADV_IND","LE LL","44"
"732","16.639031","66:ec:0e:84:4f:6e","Broadcast","ADV_IND","LE LL","44"
"741","16.903672","66:ec:0e:84:4f:6e","Broadcast","ADV_IND","LE LL","44"
